,year,title_x,imdbid,id_x,rating,adult,backdrop_path,belongs_to_collection,budget,genres,homepage,id_y,imdb_id,original_language,original_title,overview,popularity,poster_path,production_companies,production_countries,release_date,revenue,runtime,spoken_languages,status,tagline,title_y,video,vote_average,vote_count,imdb_id,nb_women,nb_men,area_women,area_men,imdb_id,ratio
5393,2010,"Wolfman, The",0780653,717,1,False,/juIHQJjA9ByHQcG63Hy5eJbVMbc.jpg,,150000000,"[{'id': 27, 'name': 'Horror'}, {'id': 36, 'name': 'History'}, {'id': 18, 'name': 'Drama'}, {'id': 53, 'name': 'Thriller'}]",http://www.thewolfmanmovie.com/,7978,0780653,en,The Wolfman,"Lawrence Talbot, an American man on a visit to Victorian London to make amends with his estranged father, gets bitten by a werewolf and, after a moonlight transformation, leaves him with a savage hunger for flesh.",32.809,/cdzkHnXhPbBBBAPLKDXFCy3oHVD.jpg,"[{'id': 33, 'logo_path': '/8lvHyhjr8oUKOOy2dKXoALWKdp0.png', 'name': 'Universal Pictures', 'origin_country': 'US'}, {'id': 7295, 'logo_path': '/5MYE96QiE5a5oFhXxFb4y8ILSpw.png', 'name': 'Relativity Media', 'origin_country': 'US'}, {'id': 4403, 'logo_path': None, 'name': 'Stuber Productions', 'origin_country': ''}]","[{'iso_3166_1': 'US', 'name': 'United States of America'}]",2010-02-10,0,102.0,"[{'english_name': 'English', 'iso_639_1': 'en', 'name': 'English'}]",Released,When the moon is full the legend comes to life,The Wolfman,False,5.8,1586,0780653,0,0,0.0,0.0,"imdb_id    0780653
imdb_id    0780653
Name: 5393, dtype: object",0.14921465968586387
1994,2013,Riley Rewind,2944454,4953,3,False,,,0,"[{'id': 14, 'name': 'Fantasy'}]",,232100,2944454,en,Riley Rewind,A high school girl named Riley has the ability to travel back in time and uses this power to save her friend who commits suicide.,1.9849999999999999,/xZSYD92RB2nzxFXKP6tTImF6lct.jpg,[],"[{'iso_3166_1': 'US', 'name': 'United States of America'}]",2013-12-12,0,50.0,"[{'english_name': 'English', 'iso_639_1': 'en', 'name': 'English'}]",Released,,Riley Rewind,False,6.8,13,2944454,0,0,0.0,0.0,"imdb_id    2944454
imdb_id    2944454
Name: 1994, dtype: object",0.341530054644807
4479,2021,"French Dispatch, The",8847712,10115,3,False,/u4Vm8n0suBYimsUoarqMw5vxNU8.jpg,,25000000,"[{'id': 35, 'name': 'Comedy'}, {'id': 18, 'name': 'Drama'}, {'id': 10749, 'name': 'Romance'}]",https://www.searchlightpictures.com/thefrenchdispatch/,542178,8847712,en,The French Dispatch,"The quirky staff of an American magazine based in 1970s France puts out its last issue, with stories featuring an artist sentenced to life imprisonment, student riots, and a kidnapping resolved by a chef.",93.881,/6JXR3KJH5roiBCjWFt09xfgxHZc.jpg,"[{'id': 127929, 'logo_path': '/fCB4AVYvxxDvqumgYqsN6ehyN3G.png', 'name': 'Searchlight Pictures', 'origin_country': 'US'}, {'id': 9350, 'logo_path': '/anrLUwQPXl9W2CzA6Z8tYGx46e5.png', 'name': 'Indian Paintbrush', 'origin_country': 'US'}, {'id': 23449, 'logo_path': None, 'name': 'American Empirical Pictures', 'origin_country': 'US'}, {'id': 264, 'logo_path': '/fA90qwUKgPhMONqtwY60GaHRyrW.png', 'name': 'Studio Babelsberg', 'origin_country': 'DE'}, {'id': 22213, 'logo_path': '/qx9K6bFWJupwde0xQDwOvXkOaL8.png', 'name': 'TSG Entertainment', 'origin_country': 'US'}]","[{'iso_3166_1': 'DE', 'name': 'Germany'}, {'iso_3166_1': 'US', 'name': 'United States of America'}]",2021-10-21,46000000,108.0,"[{'english_name': 'English', 'iso_639_1': 'en', 'name': 'English'}, {'english_name': 'French', 'iso_639_1': 'fr', 'name': 'Français'}]",Released,,The French Dispatch,False,7.2,1343,8847712,0,4,0.0,0.001888,"imdb_id    8847712
imdb_id    8847712
Name: 4479, dtype: object",0.6082913599380082
2922,2013,Kill Your Darlings,1311071,5362,1,False,/lkQ5ZZsCrQ1S7TOzujXM2Ct7NvZ.jpg,,1030064,"[{'id': 18, 'name': 'Drama'}, {'id': 10749, 'name': 'Romance'}, {'id': 53, 'name': 'Thriller'}]",,157370,1311071,en,Kill Your Darlings,"A murder in 1944 draws together the great poets of the beat generation: Allen Ginsberg, Jack Kerouac and William Burroughs.",14.053,/yswbLHDNm4gdbIk3DVEKT7Yzu4T.jpg,"[{'id': 1422, 'logo_path': '/aG7LGucYWmsrsEwnDN1HnUGfVmK.png', 'name': 'Killer Films', 'origin_country': 'US'}]","[{'iso_3166_1': 'US', 'name': 'United States of America'}]",2013-09-19,0,104.0,"[{'english_name': 'English', 'iso_639_1': 'en', 'name': 'English'}]",Released,A true story of obsession and murder.,Kill Your Darlings,False,7.1,1165,1311071,0,2,0.0,0.36036266666666666,"imdb_id    1311071
imdb_id    1311071
Name: 2922, dtype: object",0.3142462918247675
2774,1969,Support Your Local Sheriff!,0065051,1100,1,False,/nWe91B0iGdOc12cGB7Pks4HiKId.jpg,,0,"[{'id': 35, 'name': 'Comedy'}, {'id': 37, 'name': 'Western'}]",,11574,0065051,en,Support Your Local Sheriff!,"A quick-witted drifter wanders into a lawless town in the midst of a gold rush. Shocked by the prices of food and meals he reluctantly takes the job of sheriff by amazing the Mayor with his lightning quick, dead eye pistol accuracy. He makes the town council know that he is really just passing through on his way to Australia and he will pull up and leave anytime he chooses (including at the first sign of real trouble). His first day on the job he takes on the biggest, meanest ranching family and meets his klutzy love interest.",12.708,/7s8uz1dGA8JtPRSDg04zSYMUbnn.jpg,"[{'id': 76358, 'logo_path': None, 'name': 'Three Pictures', 'origin_country': ''}, {'id': 2418, 'logo_path': None, 'name': 'Cherokee Productions', 'origin_country': ''}, {'id': 60, 'logo_path': '/oJXpAs4I3W46e4dkaOEzCa4yBko.png', 'name': 'United Artists', 'origin_country': 'US'}]","[{'iso_3166_1': 'US', 'name': 'United States of America'}]",1969-03-26,0,92.0,"[{'english_name': 'English', 'iso_639_1': 'en', 'name': 'English'}]",Released,Bad men... Bad ladies... Bad horses...,Support Your Local Sheriff!,False,7.0,126,0065051,0,1,0.0,0.06902133333333334,"imdb_id    0065051
imdb_id    0065051
Name: 2774, dtype: object",0.0
7821,2002,Tuck Everlasting,0283084,1529,3,False,/5u3UyWBGbTBV6yzt13Ahj9AbS45.jpg,,15000000,"[{'id': 18, 'name': 'Drama'}, {'id': 10751, 'name': 'Family'}, {'id': 14, 'name': 'Fantasy'}, {'id': 10749, 'name': 'Romance'}]",,13768,0283084,en,Tuck Everlasting,"Teenager Winnie Foster is growing up in a small rural town in 1914 with her loving but overprotective parents, but Winnie longs for a life of greater freedom and adventure.",14.127,/9BXAC4uTHuD37hpiGOmhetqNgnO.jpg,"[{'id': 2, 'logo_path': '/wdrCwmRnLFJhEoH8GSfymY85KHT.png', 'name': 'Walt Disney Pictures', 'origin_country': 'US'}]","[{'iso_3166_1': 'US', 'name': 'United States of America'}]",2002-10-11,19158074,90.0,"[{'english_name': 'French', 'iso_639_1': 'fr', 'name': 'Français'}, {'english_name': 'English', 'iso_639_1': 'en', 'name': 'English'}]",Released,"If you could choose to live forever, would you?",Tuck Everlasting,False,6.6,382,0283084,1,3,0.07708266666666666,0.10792533333333333,"imdb_id    0283084
imdb_id    0283084
Name: 7821, dtype: object",0.0
4172,1966,Cathy Come Home,0059020,2855,3,False,,,0,"[{'id': 18, 'name': 'Drama'}, {'id': 10770, 'name': 'TV Movie'}]",,263640,0059020,en,Cathy Come Home,A British woman faces a downward social climb thanks to her country's rigid and problem-ridden welfare system.,2.135,/n5tNZXl4eygOZ9DKD0lWU9TfclX.jpg,"[{'id': 3324, 'logo_path': '/dqT3yOTlfJRmtvk52Ccd1O6dZ0A.png', 'name': 'BBC', 'origin_country': 'GB'}]","[{'iso_3166_1': 'GB', 'name': 'United Kingdom'}]",1966-11-16,0,75.0,"[{'english_name': 'English', 'iso_639_1': 'en', 'name': 'English'}]",Released,,Cathy Come Home,False,7.1,20,0059020,1,2,0.0026133333333333334,0.007096,"imdb_id    0059020
imdb_id    0059020
Name: 4172, dtype: object",0.18890693896495714
6783,2021,"Kissing Booth 3, The",12783454,10050,3,False,/oOZM1C3wZtsZtdidVgEazeas7U4.jpg,"{'id': 726619, 'name': 'The Kissing Booth Collection', 'poster_path': '/wY0OtbE3WvZFnGNL37Jw28RvUSx.jpg', 'backdrop_path': '/6o99Ld3NBMBGbLXWoUWWm8Pq9LA.jpg'}",0,"[{'id': 10749, 'name': 'Romance'}, {'id': 35, 'name': 'Comedy'}]",https://www.netflix.com/title/81026819,727745,12783454,en,The Kissing Booth 3,"It’s the summer before Elle heads to college, and she has a secret decision to make. Elle has been accepted into Harvard, where boyfriend Noah is matriculating, and also Berkeley, where her BFF Lee is headed and has to decide if she should stay or not.",110.968,/c7xcqnMDVQ5v1hJBm3AZ5YikNe6.jpg,"[{'id': 104090, 'logo_path': '/kBKzEDKymaAjhs2TuTWbynJctNr.png', 'name': 'Komixx Entertainment', 'origin_country': 'GB'}]","[{'iso_3166_1': 'ZA', 'name': 'South Africa'}, {'iso_3166_1': 'GB', 'name': 'United Kingdom'}, {'iso_3166_1': 'US', 'name': 'United States of America'}]",2021-08-11,0,112.0,"[{'english_name': 'English', 'iso_639_1': 'en', 'name': 'English'}, {'english_name': 'Spanish', 'iso_639_1': 'es', 'name': 'Español'}]",Released,The end of an era. The beginning of everything else.,The Kissing Booth 3,False,7.2,1369,12783454,1,2,0.016704,0.036608,"imdb_id    12783454
imdb_id    12783454
Name: 6783, dtype: object",2.447938504542279
160,1985,Weird Science,0090305,520,3,False,/7386slmhA9YqwU2Fbi9X1sIQsPx.jpg,,7500000,"[{'id': 35, 'name': 'Comedy'}, {'id': 10749, 'name': 'Romance'}, {'id': 878, 'name': 'Science Fiction'}]",,11814,0090305,en,Weird Science,"Two unpopular teenagers, Gary and Wyatt, fail at all attempts to be accepted by their peers. Their desperation to be liked leads them to ""create"" a woman via their computer. Their living and breathing creation is a gorgeous woman, Lisa, whose purpose is to boost their confidence level by putting them into situations which require Gary and Wyatt to act like men.",18.377,/dujIsU29d5eTT7BAXEgjdC6ajbf.jpg,"[{'id': 33, 'logo_path': '/8lvHyhjr8oUKOOy2dKXoALWKdp0.png', 'name': 'Universal Pictures', 'origin_country': 'US'}]","[{'iso_3166_1': 'US', 'name': 'United States of America'}]",1985-08-01,38934048,94.0,"[{'english_name': 'English', 'iso_639_1': 'en', 'name': 'English'}]",Released,"If you can't get a date, make one!",Weird Science,False,6.5,1065,0090305,2,1,0.025136,0.009901333333333333,"imdb_id    0090305
imdb_id    0090305
Name: 160, dtype: object",0.35069191551347434
5665,2010,Steam of Life,1583323,2337,0,False,,,580000,"[{'id': 99, 'name': 'Documentary'}]",,52903,1583323,fi,Miesten vuoro,"Finnish men in sauna, speaking straight from the heart.",2.166,/e7h7G7p7teeMYAMX3YWO4FfwmEH.jpg,"[{'id': 100366, 'logo_path': None, 'name': 'Röde Orm Film', 'origin_country': ''}, {'id': 7079, 'logo_path': '/m4er9bvkoHHgELav4HPgMDlq3MP.png', 'name': 'Oktober', 'origin_country': 'FI'}]","[{'iso_3166_1': 'FI', 'name': 'Finland'}]",2010-03-26,0,80.0,"[{'english_name': 'Finnish', 'iso_639_1': 'fi', 'name': 'suomi'}]",Released,,Steam of Life,False,7.1,28,1583323,0,3,0.0,0.017754666666666665,"imdb_id    1583323
imdb_id    1583323
Name: 5665, dtype: object",0.55186509964231
