year,title,imdbid,id,rating,directors,writers,cast,directors_male,directors_female,writers_male,writers_female,cast_male,cast_female
1984,C.H.U.D.,87015.0,9327,2,1.0,2.0,19.5,1.0,0.0,2.0,0.0,27.5,8.0
1955,Les grandes manoeuvres,48133.0,7878,3,1.0,3.0,14.0,1.0,0.0,3.0,0.0,32.0,18.0
1964,King &amp; Country,58263.0,3250,0,1.0,3.0,17.5,1.0,0.0,3.0,0.0,18.5,1.0
2002,"Coast Guard, The",341384.0,3163,1,-0.5,-0.5,-1.5,0.0,0.5,0.0,0.5,0.0,1.5
1965,Daikaiju Gamera,59080.0,6428,2,1.0,0.0,29.0,1.0,0.0,0.0,0.0,33.5,4.5
2019,7500,6436726.0,9175,1,1.0,2.0,13.5,1.0,0.0,2.0,0.0,16.5,3.0
2020,Freaky,10919380.0,9341,3,1.0,2.0,2.5,1.0,0.0,2.0,0.0,21.0,18.5
2015,Samurai Warrior Queens,4794188.0,9486,3,1.0,1.0,-7.0,1.0,0.0,1.0,0.0,1.0,8.0
1965,Treasure of the Aztecs,59682.0,9699,1,1.0,4.0,17.0,1.0,0.0,4.0,0.0,23.0,6.0
1959,"Giant Gila Monster, The",52846.0,2796,3,0.5,1.5,6.0,0.5,0.0,1.5,0.0,14.0,8.0
1963,Carry on Cabby,56912.0,2772,3,1.0,2.5,10.5,1.0,0.0,2.5,0.0,29.5,19.0
1994,Forrest Gump,109830.0,776,1,1.0,2.0,96.0,1.0,0.0,2.0,0.0,125.5,29.5
1962,Vivre Sa Vie,56663.0,8849,3,1.0,3.0,12.0,1.0,0.0,3.0,0.0,17.0,5.0
1991,"Naked Gun 2 1/2: The Smell of Fear, The",102510.0,1825,1,1.0,4.0,30.5,1.0,0.0,4.0,0.0,45.0,14.5
2008,"Brothers Bloom, The",844286.0,2424,3,-0.5,-0.5,18.0,0.0,0.5,0.0,0.5,24.0,6.0
2020,Cadaver,11284280.0,9458,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,4.0
1963,"Sword in the Stone, The",57546.0,3810,0,3.0,1.0,8.0,3.0,0.0,1.0,0.0,11.0,3.0
2017,For Here or To Go?,4157510.0,7486,3,0.0,0.0,-2.5,0.0,0.0,0.0,0.0,11.0,13.5
1993,Sister Act 2: Back in the Habit,108147.0,1353,3,1.0,2.0,-1.0,1.0,0.0,3.0,1.0,40.5,41.5
2013,"Conjuring, The",1457767.0,4370,3,1.0,1.0,1.0,1.0,0.0,1.0,0.0,25.5,24.5
2013,"Wolf of Wall Street, The",993846.0,4922,3,1.0,2.0,134.5,1.0,0.0,2.0,0.0,216.0,81.5
2003,Azumi,384819.0,9549,0,0.0,1.0,17.5,0.0,0.0,1.0,0.0,24.0,6.5
1999,Vendetta,162735.0,9292,1,1.0,2.0,33.0,1.0,0.0,2.0,0.0,43.0,10.0
1990,"Reflecting Skin, The",100469.0,8584,1,1.0,1.0,7.5,1.0,0.0,1.0,0.0,14.0,6.5
2003,X2 (X-Men 2),290334.0,102,3,1.0,6.0,32.0,1.0,0.0,6.0,0.0,50.5,18.5
2017,Tuntematon sotilas,4065552.0,8031,3,1.0,3.0,70.5,1.0,0.0,3.0,0.0,96.5,26.0
1939,Mr. Smith Goes to Washington,31679.0,5946,2,1.0,2.5,135.0,1.0,0.0,2.5,0.0,165.0,30.0
2011,Mr. Popper&#39;s Penguins,1396218.0,2425,1,1.0,3.0,21.0,1.0,0.0,4.0,1.0,37.0,16.0
1981,Diva,82269.0,8180,1,0.0,2.0,6.5,0.0,0.0,2.0,0.0,19.0,12.5
2019,Ready or Not,7798634.0,8861,3,1.5,1.0,6.0,1.5,0.0,1.0,0.0,16.0,10.0
2014,Last Shift,2965466.0,7885,3,1.0,2.0,-2.5,1.0,0.0,2.0,0.0,7.5,10.0
2019,Sorry We Missed You,8359816.0,8980,3,1.0,1.0,18.0,1.0,0.0,1.0,0.0,33.0,15.0
2000,Ordinary Decent Criminal,160611.0,153,1,1.0,1.0,29.5,1.0,0.0,1.0,0.0,39.0,9.5
2008,Nick and Norah&#39;s Infinite Playlist,981227.0,197,3,1.0,-1.0,22.5,1.0,0.0,1.0,2.0,41.5,19.0
2019,Brightburn,7752126.0,8765,2,1.0,2.0,3.5,1.0,0.0,2.0,0.0,12.0,8.5
2009,Infestation,1020543.0,4006,3,-0.5,-0.5,3.5,0.0,0.5,0.0,0.5,10.0,6.5
2010,Diciotto anni dopo,1433802.0,6248,1,1.0,2.0,2.0,1.0,0.0,3.0,1.0,9.0,7.0
1990,Hiroshima: Out of the Ashes,99772.0,9813,3,1.0,1.0,5.0,1.0,0.0,1.0,0.0,16.5,11.5
2012,Moonrise Kingdom,1748122.0,3348,3,1.0,2.0,38.5,1.0,0.0,2.0,0.0,59.0,20.5
2004,Dawn of the Dead,363547.0,3153,3,1.0,2.0,16.5,1.0,0.0,2.0,0.0,28.5,12.0
2016,Birkebeinerne,4738360.0,7313,1,1.0,0.0,17.0,1.0,0.0,0.0,0.0,21.0,4.0
2009,I can do bad all by myself,1385912.0,6937,1,0.5,1.0,17.5,0.5,0.0,1.0,0.0,29.5,12.0
2013,Out of the Furnace,1206543.0,4910,1,1.0,2.0,56.0,1.0,0.0,2.0,0.0,64.5,8.5
2009,Our Summer in Tehran,1326956.0,2755,3,-1.0,-1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0
2013,"Young and Prodigious T.S. Spivet, The",1981107.0,5607,3,1.0,3.0,5.0,1.0,0.0,3.0,0.0,30.5,25.5
1956,Le coup du berger,49095.0,9993,3,1.0,3.5,4.5,1.0,0.0,3.5,0.0,6.5,2.0
2010,"Clinic, The",1345772.0,2951,3,1.0,1.0,-5.5,1.0,0.0,1.0,0.0,9.0,14.5
1958,"Screaming Skull, The",52169.0,2763,2,1.0,1.0,3.0,1.0,0.0,1.0,0.0,4.0,1.0
2013,At Middleton,1483324.0,5758,3,1.0,2.0,9.0,1.0,0.0,2.0,0.0,16.0,7.0
1994,"Crow, The",109506.0,3820,3,1.0,3.0,31.0,1.0,0.0,3.0,0.0,47.0,16.0
2017,Thor: Ragnarok,3501632.0,7875,1,0.0,9.0,40.5,0.0,0.0,9.0,0.0,82.0,41.5
2018,La camarista,8331988.0,9019,3,-1.0,0.0,-3.0,0.0,1.0,1.0,1.0,0.0,3.0
1973,"Satanic Rites of Dracula, The",70634.0,8320,1,1.0,1.0,7.5,1.0,0.0,1.0,0.0,14.5,7.0
1955,Guys and Dolls,48140.0,2115,3,1.0,4.0,47.0,1.0,0.0,4.0,0.0,61.5,14.5
2017,Beach Rats,6303866.0,8045,3,-1.0,-1.0,11.5,0.0,1.0,0.0,1.0,26.5,15.0
2013,Enemy,2316411.0,6753,1,1.0,1.5,1.5,1.0,0.0,1.5,0.0,8.0,6.5
1996,"Cable Guy, The",115798.0,449,1,1.0,0.5,31.0,1.0,0.0,0.5,0.0,52.0,21.0
2017,"Shack, The",2872518.0,7708,3,1.0,6.0,3.0,1.0,0.0,6.0,0.0,19.5,16.5
1930,Min and Bill,21148.0,3927,3,1.0,-3.0,3.0,1.0,0.0,0.0,3.0,7.0,4.0
2010,Revenge of the Bridesmaids,1666642.0,4991,3,1.0,2.0,7.0,1.0,0.0,3.0,1.0,24.0,17.0
2009,Micmacs (Micmacs &agrave; tire-larigot),1149361.0,1771,3,1.0,3.0,7.5,1.0,0.0,3.0,0.0,34.0,26.5
2010,"Karate Kid, The",1155076.0,943,3,1.0,2.0,4.0,1.0,0.0,2.0,0.0,7.0,3.0
2020,"Veil, The",11895476.0,9031,3,-1.0,-3.0,-3.5,0.0,1.0,0.0,3.0,8.0,11.5
1991,Dick Tracy,99422.0,5833,1,1.0,3.0,35.5,1.0,0.0,3.0,0.0,51.0,15.5
2006,I&#39;m Reed Fish,464061.0,2260,2,1.0,5.0,14.0,1.0,0.0,5.0,0.0,18.0,4.0
2013,Haute Cuisine,2094877.0,4603,3,1.0,1.0,33.5,1.0,0.0,2.0,1.0,40.0,6.5
1984,Another Country,86904.0,5761,0,1.0,2.0,24.5,1.0,0.0,2.0,0.0,27.5,3.0
2012,Save the Date,1965065.0,5980,2,1.0,2.0,3.0,1.0,0.0,2.0,0.0,18.0,15.0
2017,Sharknado 5: Global Swarming,6298780.0,8353,3,1.0,1.0,16.5,1.0,0.0,1.0,0.0,113.0,96.5
1999,Wives and Daughters,215364.0,1564,3,1.0,0.0,5.0,1.0,0.0,1.0,1.0,21.0,16.0
2009,Night at the Museum: Battle of the Smithsonian,1078912.0,9589,1,0.5,4.0,40.0,0.5,0.0,4.0,0.0,52.5,12.5
2015,A Little Chaos,2639254.0,6271,3,1.0,1.0,19.5,1.0,0.0,2.0,1.0,41.0,21.5
2011,Faces in the Crowd,1536410.0,4070,3,1.0,-0.5,12.0,1.0,0.0,1.0,1.5,43.5,31.5
2015,"3Tails Movie: A Mermaid Adventure, The",3391348.0,7672,3,0.5,-0.5,1.5,1.0,0.5,0.0,0.5,7.0,5.5
1996,Sleepers,117665.0,7352,1,1.0,2.0,58.5,1.0,0.0,2.0,0.0,69.0,10.5
2003,Cradle 2 the Grave,306685.0,4378,1,1.0,3.0,36.0,1.0,0.0,3.0,0.0,47.5,11.5
1971,Nicholas and Alexandra,67483.0,7189,3,1.0,3.0,28.5,1.0,0.0,3.0,0.0,42.5,14.0
2020,Blow the Man Down,8299768.0,9079,3,-2.0,-2.0,-0.5,0.0,2.0,0.0,2.0,8.0,8.5
2014,Anatomy of a Love Seen,3546114.0,7203,3,-1.0,-1.0,-2.0,0.0,1.0,0.0,1.0,3.0,5.0
2008,Defiance,1034303.0,3711,3,1.0,1.0,30.0,1.0,0.0,2.0,1.0,48.5,18.5
2013,Man of Steel,770828.0,4238,3,1.0,5.0,42.0,1.0,0.0,5.0,0.0,77.0,35.0
1916,"Vagabond, The",7507.0,5368,0,1.0,3.0,7.0,1.0,0.0,3.0,0.0,10.0,3.0
1933,Design for Living,23940.0,8346,1,1.0,3.0,10.5,1.0,0.0,3.0,0.0,21.0,10.5
1928,"Patsy, The",19258.0,2013,3,1.0,2.0,3.0,1.0,0.0,2.0,0.0,6.0,3.0
2021,Every Time a Bell Rings,15943414.0,10158,3,0.0,-2.0,0.0,0.0,0.0,0.0,2.0,7.5,7.5
2016,Raw,4954522.0,7662,3,-1.0,-2.0,-2.5,0.0,1.0,0.0,2.0,10.5,13.0
2014,Young Ones,2693664.0,7254,1,1.0,1.0,10.0,1.0,0.0,1.0,0.0,15.0,5.0
2012,Vamps,1545106.0,7083,3,-1.0,-1.0,10.0,0.0,1.0,0.0,1.0,28.0,18.0
2020,Onward,7146812.0,9034,3,1.0,6.0,1.0,1.0,0.0,6.0,0.0,5.5,4.5
2018,Bethany Hamilton: Unstoppable,6435258.0,10049,1,1.0,0.5,2.5,1.0,0.0,1.0,0.5,6.0,3.5
1950,D.O.A.,42369.0,5350,1,1.0,4.0,18.0,1.0,0.0,4.0,0.0,26.0,8.0
2016,"Boy, The",3882082.0,6755,3,1.0,-0.5,2.5,1.0,0.0,0.0,0.5,6.0,3.5
2013,"Heat, The",2404463.0,4196,3,1.0,-1.0,53.5,1.0,0.0,0.0,1.0,88.0,34.5
2014,Alex of Venice,2977090.0,9162,3,0.5,-1.0,3.0,0.5,0.0,1.0,2.0,16.5,13.5
2000,"Way of the Gun, The",202677.0,4703,2,1.0,1.0,9.0,1.0,0.0,1.0,0.0,14.0,5.0
1984,Friday the 13th Part IV: The Final Chapter,87298.0,5154,3,1.0,5.5,17.5,1.0,0.0,6.0,0.5,31.5,14.0
1960,"Magnificent Seven, The",54047.0,1295,0,1.0,4.0,21.5,1.0,0.0,4.5,0.5,25.0,3.5
2009,Cherrybomb,1248971.0,7623,1,0.0,1.0,4.0,1.0,1.0,1.0,0.0,9.0,5.0
1970,Tora! Tora! Tora!,66473.0,8322,1,3.5,3.5,75.5,3.5,0.0,3.5,0.0,79.5,4.0
2010,Halo: Legends,1480660.0,7927,1,11.0,5.5,22.0,11.0,0.0,6.5,1.0,40.5,18.5
2006,Once,907657.0,530,2,1.0,1.0,15.0,1.0,0.0,1.0,0.0,21.0,6.0
2009,A Town Called Panic,1433540.0,2558,1,1.5,3.5,10.5,1.5,0.0,3.5,0.0,14.5,4.0
2008,Rachel Getting Married,1084950.0,499,3,1.0,-1.0,6.5,1.0,0.0,0.0,1.0,47.0,40.5
1990,Home Alone,99785.0,432,3,0.5,1.0,24.0,0.5,0.0,1.0,0.0,44.5,20.5
2019,Turma da Monica: Lacos,8169552.0,8835,2,1.0,-1.0,6.0,1.0,0.0,1.0,2.0,18.0,12.0
2019,Straight Up,8855960.0,9023,3,1.0,1.0,7.5,1.0,0.0,1.0,0.0,23.5,16.0
2004,Kill Bill: Vol. 2,378194.0,509,3,1.0,1.0,0.5,1.0,0.0,2.0,1.0,27.0,26.5
2002,Star Trek: Nemesis,253754.0,138,1,1.0,4.5,18.0,1.0,0.0,4.5,0.0,26.0,8.0
1970,Les novices,66164.0,3537,3,1.5,2.0,10.0,1.5,0.0,2.0,0.0,13.0,3.0
1937,Make Way for Tomorrow,29192.0,4255,3,1.0,0.0,19.0,1.0,0.0,2.0,2.0,39.5,20.5
2006,Peliculas para no dormir: Regreso a Moira,460897.0,7309,1,1.0,2.0,6.0,1.0,0.0,2.0,0.0,12.0,6.0
2016,Jason Bourne,4196776.0,7046,1,1.0,3.0,90.5,1.0,0.0,3.0,0.0,138.0,47.5
1997,Boogie Nights,118749.0,2347,3,1.0,1.0,46.5,1.0,0.0,1.0,0.0,67.5,21.0
2019,Scary Stories to Tell in the Dark,3387520.0,8867,3,1.0,6.0,5.5,1.0,0.0,6.0,0.0,19.5,14.0
1996,Eraser,116213.0,6839,3,1.0,3.0,59.0,1.0,0.0,3.0,0.0,65.5,6.5
2002,Real Women Have Curves,296166.0,2108,3,-1.0,-1.0,-5.0,0.0,1.0,1.0,2.0,9.5,14.5
2017,Wonder,2543472.0,7903,3,1.0,3.0,-6.0,1.0,0.0,3.0,0.0,25.0,31.0
2010,30 Days of Night: Dark Days,1320304.0,5876,3,1.0,4.0,9.0,1.0,0.0,4.0,0.0,16.0,7.0
1981,Clash of the Titans,82186.0,744,3,1.0,-0.5,5.0,1.0,0.0,0.0,0.5,15.0,10.0
2020,Sputnik,11905962.0,9281,0,1.0,2.0,5.0,1.0,0.0,2.0,0.0,9.0,4.0
2003,Dreamcatcher,285531.0,4161,0,1.0,3.0,28.0,1.0,0.0,3.0,0.0,37.0,9.0
2006,Cow Belles,489007.0,5519,3,-1.0,3.0,5.5,0.0,1.0,3.0,0.0,14.0,8.5
1976,Sparkle,75249.0,2672,3,0.5,3.0,10.5,0.5,0.0,3.0,0.0,17.0,6.5
1960,"Story of Ruth, The",54343.0,5123,3,1.0,1.0,20.5,1.0,0.0,1.0,0.0,37.5,17.0
1924,"Thief of Bagdad, The",15400.0,1264,0,1.0,1.0,11.5,1.0,0.0,2.0,1.0,15.5,4.0
2019,Triple Frontier,1488606.0,8687,1,0.0,2.0,54.0,0.0,0.0,2.0,0.0,67.0,13.0
2015,"Danish Girl, The",810819.0,6655,3,1.0,0.0,4.0,1.0,0.0,1.0,1.0,35.0,31.0
2008,Waltz with Bashir,1185616.0,1751,0,1.0,1.0,5.0,1.0,0.0,1.0,0.0,7.0,2.0
2008,Seventh Moon,1052040.0,4767,0,1.0,0.5,1.0,1.0,0.0,1.0,0.5,2.0,1.0
2002,Home Room,264689.0,2907,3,1.0,1.0,10.0,1.0,0.0,1.0,0.0,16.0,6.0
2013,Mama,2023587.0,3853,3,1.0,1.0,-1.0,1.0,0.0,3.0,2.0,12.0,13.0
1997,Carne tr&eacute;mula [Live Flesh],118819.0,7710,2,1.0,1.5,3.0,1.0,0.0,2.5,1.0,9.5,6.5
2001,I Am Sam,277027.0,5235,3,-1.0,-2.0,5.0,0.0,1.0,0.0,2.0,31.0,26.0
2018,"Spy Who Dumped Me, The",6663582.0,8362,3,-1.0,0.0,5.5,0.0,1.0,1.0,1.0,27.5,22.0
2003,"Man Who Copied, The",367859.0,5289,2,1.0,1.0,3.0,1.0,0.0,1.0,0.0,18.0,15.0
2011,"Rum Diary, The",376136.0,2987,1,1.0,1.5,42.5,1.0,0.0,1.5,0.0,51.5,9.0
1993,RoboCop 3,107978.0,5238,3,1.0,5.0,37.5,1.0,0.0,5.0,0.0,47.5,10.0
2011,Your Highness,1240982.0,2185,1,1.0,2.0,18.5,1.0,0.0,2.0,0.0,34.5,16.0
2019,Anna,7456310.0,8786,3,1.0,1.0,29.5,1.0,0.0,1.0,0.0,51.0,21.5
2018,Anon,5397194.0,9630,0,1.0,1.0,14.5,1.0,0.0,1.0,0.0,29.5,15.0
2002,High Crimes,257756.0,96,3,1.0,1.0,27.0,1.0,0.0,2.0,1.0,43.5,16.5
1995,"Celluloid Closet, The",112651.0,2690,3,2.0,2.0,17.5,2.0,0.0,3.0,1.0,22.5,5.0
2002,Below,276816.0,5339,0,1.0,3.0,26.5,1.0,0.0,3.0,0.0,27.5,1.0
2012,"Tall Man, The",1658837.0,3624,3,1.0,1.0,-7.0,1.0,0.0,1.0,0.0,13.0,20.0
2019,Vivarium,8368406.0,9212,3,0.0,2.0,6.0,0.0,0.0,2.0,0.0,11.0,5.0
1968,Yellow Submarine,63823.0,1815,0,1.0,7.0,10.5,1.0,0.0,7.0,0.0,11.0,0.5
1994,Naked Gun 33 1/3: The Final Insult,110622.0,1826,2,1.0,5.0,39.5,1.0,0.0,5.0,0.0,79.0,39.5
2012,Hit and Run,2097307.0,4404,3,2.0,1.0,4.0,2.0,0.0,1.0,0.0,15.0,11.0
1975,Jaws,73195.0,2561,3,1.0,3.0,46.5,1.0,0.0,3.0,0.0,61.5,15.0
1964,Mary Poppins,58331.0,701,3,1.0,2.0,38.0,1.0,0.0,2.0,0.0,54.0,16.0
2000,"Family Man, The",218967.0,8909,3,1.0,2.0,5.0,1.0,0.0,2.0,0.0,26.0,21.0
2006,Dreamgirls,443489.0,5815,3,1.0,2.0,51.0,1.0,0.0,2.0,0.0,77.5,26.5
1989,Wild Orchid,100934.0,1499,3,1.0,0.0,9.0,1.0,0.0,1.0,1.0,20.5,11.5
1937,Knight Without Armor,29087.0,1244,2,1.0,2.0,26.5,1.0,0.0,3.0,1.0,32.0,5.5
1941,Two-Faced Woman,34328.0,1331,2,1.0,1.0,22.0,1.0,0.0,2.0,1.0,40.5,18.5
1984,Blame It on Rio,86973.0,3357,3,1.0,2.0,-1.5,1.0,0.0,2.0,0.0,9.0,10.5
2005,Factotum,417658.0,1422,1,1.0,3.0,33.5,1.0,0.0,3.0,0.0,49.0,15.5
1965,Winnetou: The Last Shot,59915.0,9691,0,1.0,2.0,29.0,1.0,0.0,2.0,0.0,32.0,3.0
1985,Weird Science,90305.0,520,3,1.0,3.0,15.5,1.0,0.0,3.0,0.0,31.0,15.5
1973,"Mad Adventures of &#39;Rabbi&#39; Jacob, The",69747.0,1550,2,1.0,-2.0,32.5,1.0,0.0,4.0,6.0,44.5,12.0
2005,Munich,408306.0,4518,1,1.0,3.0,66.5,1.0,0.0,3.0,0.0,95.5,29.0
1947,Gentleman&#39;s Agreement,39416.0,9598,1,-1.0,-2.0,23.5,0.0,1.0,0.0,2.0,49.0,25.5
2010,Daydream Nation,1581835.0,3887,3,1.0,2.0,5.0,1.0,0.0,2.0,0.0,16.5,11.5
1999,"Mummy, The",120616.0,2897,1,1.0,5.0,23.5,1.0,0.0,6.0,1.0,27.5,4.0
2014,Who Am I - Kein System ist sicher,3042408.0,5836,2,1.0,0.0,18.0,1.0,0.0,1.0,1.0,35.0,17.0
2010,Red,1245526.0,1700,2,1.0,4.0,37.0,1.0,0.0,4.0,0.0,60.5,23.5
2000,Saving Grace,195234.0,3183,3,1.0,3.0,15.0,1.0,0.0,3.0,0.0,23.0,8.0
1993,Bad Boy Bubby,106341.0,950,1,1.0,1.0,11.0,1.0,0.0,1.0,0.0,31.5,20.5
1978,"Lord of the Rings, The",77869.0,8437,1,1.0,1.5,49.0,1.0,0.0,1.5,0.0,56.5,7.5
2014,"Interview, The",2788710.0,6001,1,2.0,4.0,39.0,2.0,0.0,4.0,0.0,52.0,13.0
1986,SpaceCamp,91993.0,2658,3,1.0,3.0,9.0,1.0,0.0,3.0,0.0,17.5,8.5
1971,Get Carter,67128.0,7518,1,1.0,2.0,13.5,1.0,0.0,2.0,0.0,23.5,10.0
2016,Grease Live!,4366830.0,7106,3,2.0,5.0,6.5,2.0,0.0,5.0,0.0,39.5,33.0
1995,Home for the holidays,113321.0,4904,3,-1.0,0.5,-2.5,0.0,1.0,0.5,0.0,11.5,14.0
2008,Quarantine,1082868.0,541,3,1.0,4.0,22.0,1.0,0.0,4.0,0.0,29.5,7.5
2018,Say My Name,7250378.0,8718,3,1.0,-1.0,0.5,1.0,0.0,0.0,1.0,9.0,8.5
1997,La principessa e il povero,178844.0,4987,3,1.0,1.0,3.0,1.0,0.0,1.0,0.0,10.0,7.0
2007,Les deux mondes,808230.0,6759,2,1.0,3.0,25.5,1.0,0.0,4.0,1.0,41.5,16.0
1955,To Catch a Thief,48728.0,782,3,1.0,3.0,34.5,1.0,0.0,3.0,0.0,63.5,29.0
2018,Slender Man,5690360.0,8407,3,1.0,2.0,9.5,1.0,0.0,2.0,0.0,20.5,11.0
1996,Barb Wire,115624.0,9782,1,1.0,-0.5,14.0,1.0,0.0,1.5,2.0,33.5,19.5
2012,Why Stop Now?,1853643.0,7848,3,2.0,4.0,10.0,2.0,0.0,4.0,0.0,23.5,13.5
2015,"Good Dinosaur, The",1979388.0,6558,3,1.0,3.5,4.0,1.0,0.0,6.0,2.5,13.5,9.5
2013,Elle s&#39;en va,2289538.0,5376,3,-1.0,0.0,-15.0,0.0,1.0,1.0,1.0,23.5,38.5
1993,Philadelphia,107818.0,5919,2,1.0,1.0,40.5,1.0,0.0,1.0,0.0,69.0,28.5
1948,Bonnie Prince Charlie,40183.0,1236,2,2.0,0.0,25.0,2.0,0.0,0.0,0.0,36.0,11.0
2012,Skyfall,1074638.0,3632,3,0.5,4.0,81.0,0.5,0.0,4.0,0.0,110.5,29.5
2011,Les Tuche,1793931.0,8939,3,1.0,2.0,17.0,1.0,0.0,3.0,1.0,31.0,14.0
1975,Switchblade Sisters,73778.0,6799,3,1.0,2.0,-4.0,1.0,0.0,2.0,0.0,16.0,20.0
2016,Wiener-Dog,4144190.0,7285,1,1.0,1.0,4.0,1.0,0.0,1.0,0.0,16.5,12.5
2013,Concussion,2296697.0,4840,3,-0.5,-0.5,-23.5,0.0,0.5,0.0,0.5,28.0,51.5
2006,"I&#39;m a Cyborg, But That&#39;s OK",497137.0,2802,3,0.0,0.0,0.5,0.0,0.0,0.0,0.0,1.0,0.5
1979,Escape from Alcatraz,79116.0,3420,0,1.0,1.0,46.0,1.0,0.0,1.0,0.0,49.5,3.5
1982,Frances,83967.0,4844,3,1.0,3.0,25.0,1.0,0.0,3.0,0.0,51.5,26.5
2021,Love Hard,10752004.0,10152,2,0.0,0.0,5.5,0.0,0.0,1.0,1.0,18.5,13.0
1997,Knockin&#39; on Heaven&#39;s Door,119472.0,5143,1,1.0,3.0,18.0,1.0,0.0,3.0,0.0,36.5,18.5
2013,Kyss meg for faen i helvete,2829458.0,5113,3,1.0,0.0,1.5,1.0,0.0,1.0,1.0,10.0,8.5
2010,Letters to Juliet,892318.0,823,3,1.0,2.0,6.5,1.0,0.0,2.0,0.0,22.0,15.5
2006,Grandma&#39;s Boy,456554.0,5840,3,0.0,3.0,23.0,0.0,0.0,3.0,0.0,33.0,10.0
1972,"Poseidon Adventure, The",69113.0,4916,1,1.0,3.0,38.5,1.0,0.0,3.0,0.0,57.0,18.5
2009,Vision - Aus dem Leben der Hildegard von Bingen,995850.0,1508,3,-1.0,-1.0,-14.0,0.0,1.0,0.0,1.0,12.0,26.0
2007,"Signal, The",780607.0,2364,2,3.0,3.0,16.5,3.0,0.0,3.0,0.0,38.5,22.0
1992,My Cousin Vinny,104952.0,1895,1,1.0,0.5,18.0,1.0,0.0,0.5,0.0,22.0,4.0
1927,It,18033.0,1227,3,2.0,0.0,-4.0,2.0,0.0,2.0,2.0,5.0,9.0
2008,Hamlet 2,1104733.0,2274,3,1.0,0.0,11.0,1.0,0.0,1.0,1.0,28.5,17.5
2019,Portrait of a Lady on Fire,8613070.0,8882,3,-1.0,-1.0,-5.0,0.0,1.0,0.0,1.0,2.0,7.0
2008,"Mummy: Tomb of the Dragon Emperor, The",859163.0,5656,3,1.0,4.0,18.0,1.0,0.0,4.0,0.0,28.5,10.5
2002,Spun,283003.0,4319,3,1.0,1.5,7.0,1.0,0.0,1.5,0.0,17.0,10.0
2010,Valentine&#39;s Day,817230.0,989,3,1.0,-2.0,-7.5,1.0,0.0,1.0,3.0,60.0,67.5
1989,Major League,97815.0,3808,1,1.0,1.0,108.0,1.0,0.0,1.0,0.0,118.5,10.5
2018,Life of the Party,5619332.0,8277,3,1.0,0.0,6.5,1.0,0.0,1.0,1.0,43.0,36.5
1983,Mortelle randonn&eacute;e,84358.0,7247,3,0.5,5.0,11.5,0.5,0.0,5.0,0.0,26.5,15.0
1968,Gamera vs. Viras,63000.0,6807,2,2.0,0.0,3.0,2.0,0.0,0.0,0.0,7.5,4.5
2015,"Ridiculous 6, The",2479478.0,6597,2,1.0,2.0,46.5,1.0,0.0,2.0,0.0,65.5,19.0
2019,Ma,7958736.0,8758,3,0.5,1.0,3.0,0.5,0.0,1.0,0.0,16.0,13.0
1985,Anne of Green Gables,88727.0,935,3,1.0,1.0,-5.0,1.0,0.0,2.0,1.0,17.0,22.0
2014,Predestination,2397535.0,6172,3,2.0,3.0,-8.5,2.0,0.0,3.0,0.0,27.0,35.5
2005,Legion of the Dead,441041.0,3843,3,1.0,1.0,8.0,1.0,0.0,1.0,0.0,14.5,6.5
1992,FernGully: The Last Rainforest,104254.0,1157,3,1.0,0.0,7.5,1.0,0.0,1.0,1.0,15.5,8.0
2011,Hesher,1403177.0,2289,1,1.0,3.0,14.5,1.0,0.0,3.0,0.0,20.0,5.5
2016,Contratiempo,4857264.0,7430,1,1.0,0.0,2.0,1.0,0.0,1.0,1.0,13.0,11.0
2014,Turist,3630276.0,5936,3,1.0,1.0,4.0,1.0,0.0,1.0,0.0,14.0,10.0
1935,Mutiny on the Bounty,26752.0,1361,1,1.0,4.0,40.5,1.0,0.0,5.0,1.0,49.5,9.0
2002,Devdas,238936.0,6027,3,1.0,2.0,-3.5,1.0,0.0,2.0,0.0,4.5,8.0
2006,Last Holiday,408985.0,938,3,1.0,2.0,6.5,1.0,0.0,2.0,0.0,34.5,28.0
2013,Welcome to the Punch,1684233.0,4433,1,1.0,1.0,24.0,1.0,0.0,1.0,0.0,36.0,12.0
1993,Robin Hood: Men in Tights,107977.0,1067,3,-0.5,1.5,46.5,0.0,0.5,2.0,0.5,58.0,11.5
1950,Rashomon,42876.0,1402,0,0.5,0.0,1.5,0.5,0.0,0.5,0.5,3.5,2.0
2011,Trishna,1836987.0,3528,3,1.0,2.0,-7.0,1.0,0.0,2.0,0.0,7.5,14.5
2009,Frequently Asked Questions About Time Travel,910554.0,932,2,1.0,-0.5,7.5,1.0,0.0,0.0,0.5,9.0,1.5
1993,Short Cuts,108122.0,5316,3,1.0,3.0,23.0,1.0,0.0,3.0,0.0,45.0,22.0
2018,Mary Queen of Scots,2328900.0,8573,3,-1.0,2.0,80.0,0.0,1.0,2.0,0.0,94.5,14.5
2009,A Single Man,1315981.0,697,1,1.0,3.0,-1.5,1.0,0.0,3.0,0.0,17.0,18.5
2017,Wheelman,5723286.0,7869,1,1.0,1.0,14.5,1.0,0.0,1.0,0.0,19.5,5.0
