year,title,imdbid,id,rating,directors,writers,cast,directors_male,directors_female,writers_male,writers_female,cast_male,cast_female
2012,As High as the Sky,2119383.0,5645,3,-1.0,-1.0,-5.5,0.0,1.0,0.0,1.0,1.5,7.0
1952,Ikiru,44741.0,7162,1,0.5,1.0,9.0,0.5,0.0,1.5,0.5,17.0,8.0
1998,Rush Hour,120812.0,1392,1,1.0,3.0,19.0,1.0,0.0,3.0,0.0,35.5,16.5
2009,"Dancer and the Thief, The",1243375.0,3377,0,1.0,2.0,7.5,1.0,0.0,2.0,0.0,21.0,13.5
1951,Take Care of My Little Girl,44100.0,4510,3,1.0,1.0,-12.0,1.0,0.0,2.0,1.0,12.5,24.5
2007,"Jane Austen Book Club, The",866437.0,1151,3,0.5,-0.5,3.0,0.5,0.0,0.5,1.0,20.0,17.0
2019,Tall Girl,9252508.0,8853,3,0.0,0.5,1.0,0.0,0.0,0.5,0.0,29.0,28.0
2000,"Replacements, The",191397.0,9910,3,1.0,1.0,52.0,1.0,0.0,1.0,0.0,104.0,52.0
1986,Hour of the Star,89297.0,4451,3,-1.0,-1.0,-1.0,0.0,1.0,1.0,2.0,6.0,7.0
2003,Thirteen,328538.0,2380,3,-1.0,-2.0,4.0,0.0,1.0,0.0,2.0,17.5,13.5
1940,Rebecca,32976.0,618,3,1.0,1.0,8.0,1.0,0.0,3.0,2.0,14.0,6.0
2019,Bad Education,8206668.0,9204,3,0.5,2.0,17.0,0.5,0.0,2.0,0.0,48.5,31.5
1972,"Silent Night, Bloody Night",70694.0,4981,3,1.0,1.0,6.0,1.0,0.0,3.0,2.0,18.0,12.0
2009,"I Love You, Man",1155056.0,519,2,1.0,3.0,34.5,1.0,0.0,3.0,0.0,54.5,20.0
1989,Let It Ride,97731.0,1640,2,1.0,0.0,27.5,1.0,0.0,1.0,1.0,42.5,15.0
2014,"Hunger Games: Mockingjay - Part 1, The",1951265.0,5931,3,1.0,0.0,29.0,1.0,0.0,2.0,2.0,67.5,38.5
2014,Maleficent,1587310.0,5510,3,1.0,6.0,33.5,1.0,0.0,7.0,1.0,50.5,17.0
2018,Jonathan,5639446.0,8724,1,1.0,3.0,6.0,1.0,0.0,3.0,0.0,8.0,2.0
2006,Idlewild,417225.0,3326,3,1.0,1.0,-5.0,1.0,0.0,1.0,0.0,26.5,31.5
1928,While the City Sleeps,19571.0,2017,2,1.0,2.0,10.0,1.0,0.0,2.0,0.0,14.5,4.5
1948,"Fuller Brush Man, The",40379.0,2300,1,0.0,2.0,22.5,0.0,0.0,2.0,0.0,39.5,17.0
2016,Independence Day: Resurgence,1628841.0,6947,3,1.0,12.0,85.0,1.0,0.0,12.0,0.0,116.5,31.5
2010,Ceremony,1341341.0,2686,2,1.0,1.0,7.0,1.0,0.0,1.0,0.0,12.0,5.0
1947,Nada,39650.0,7432,3,1.0,-3.0,4.5,1.0,0.0,0.0,3.0,12.0,7.5
1993,"Pelican Brief, The",107798.0,7277,3,1.0,2.0,28.5,1.0,0.0,2.0,0.0,49.0,20.5
1965,Doctor Zhivago,59113.0,5884,1,1.0,2.0,19.0,1.0,0.0,2.0,0.0,35.0,16.0
2009,Bride Wars,901476.0,1395,3,1.0,1.0,12.5,1.0,0.0,2.0,1.0,56.0,43.5
2009,A Serious Man,1019452.0,1870,2,2.0,2.0,24.5,2.0,0.0,2.0,0.0,46.5,22.0
1995,"Langoliers, The",112040.0,4791,3,1.0,2.0,9.5,1.0,0.0,2.0,0.0,15.5,6.0
2011,Once Upon a Warrior,1621994.0,2978,3,0.5,1.5,4.5,0.5,0.0,1.5,0.0,9.0,4.5
1981,Thief,83190.0,8789,0,1.0,3.0,20.5,1.0,0.0,3.0,0.0,32.0,11.5
1993,Three Colors: Blue,108394.0,984,3,1.0,2.0,7.5,1.0,0.0,3.0,1.0,18.5,11.0
1971,Lulu the Tool,66919.0,6243,1,1.0,2.0,22.0,1.0,0.0,2.0,0.0,27.0,5.0
2007,Dark Mirror,486651.0,4963,3,1.0,2.0,0.5,1.0,0.0,2.0,0.0,12.0,11.5
2013,Fading Gigolo,2258345.0,5428,2,1.0,1.0,-0.5,1.0,0.0,1.0,0.0,17.0,17.5
2016,Kill Command,2667380.0,7087,1,1.0,1.0,4.0,1.0,0.0,1.0,0.0,6.5,2.5
2008,Ghost in the Shell 2.0,1260502.0,3693,3,1.0,1.0,13.5,1.0,0.0,1.0,0.0,25.5,12.0
1955,"Fast and the Furious, The",46969.0,3158,3,2.0,3.0,10.0,2.0,0.0,3.0,0.0,12.0,2.0
1977,"Haunting of Julia, The",74611.0,4936,3,1.0,3.0,-1.0,1.0,0.0,3.0,0.0,13.5,14.5
2009,Crossing Over,924129.0,2042,3,1.0,1.0,12.0,1.0,0.0,1.0,0.0,42.0,30.0
1954,Hobson&#39;s Choice,47094.0,2426,3,1.0,4.0,6.0,1.0,0.0,4.0,0.0,13.0,7.0
2004,"Assassination of Richard Nixon, The",364961.0,7145,1,1.0,2.0,22.5,1.0,0.0,2.0,0.0,36.0,13.5
2005,Herbie Fully Loaded,400497.0,328,3,-1.0,8.0,32.5,0.0,1.0,8.0,0.0,44.5,12.0
2013,Snowpiercer,1706620.0,5296,3,0.0,1.5,15.5,0.0,0.0,2.0,0.5,27.0,11.5
1988,Sticky Fingers,96176.0,5258,3,0.0,-1.0,9.5,0.0,0.0,0.0,1.0,24.5,15.0
1987,Bad Taste,92610.0,7049,0,1.0,3.0,36.0,1.0,0.0,3.0,0.0,40.5,4.5
2014,Girlhood,3655522.0,6198,3,-1.0,-1.0,-2.0,0.0,1.0,0.0,1.0,9.5,11.5
1988,Coming to America,94898.0,256,3,1.0,3.0,1.0,1.0,0.0,3.0,0.0,40.5,39.5
2003,Kontroll,373981.0,8530,0,0.0,1.0,46.0,0.0,0.0,1.0,0.0,61.0,15.0
1999,Titus,120866.0,2354,3,-1.0,0.0,23.0,0.0,1.0,1.0,1.0,26.0,3.0
2019,Good Kisser,9602378.0,9479,3,-1.0,-1.0,-2.5,0.0,1.0,0.0,1.0,1.0,3.5
1990,Nikita,100263.0,869,3,1.0,1.0,34.5,1.0,0.0,1.0,0.0,44.5,10.0
2004,He Was Cool (Geunomeun meoshiteotda),415819.0,4368,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2007,Eagle vs Shark,494222.0,2478,3,0.0,0.5,4.5,0.0,0.0,0.5,0.0,16.5,12.0
2009,Old Dogs,976238.0,10204,3,1.0,2.0,14.0,1.0,0.0,2.0,0.0,51.5,37.5
2000,"Man Who Cried, The",206917.0,2414,3,-1.0,-1.0,12.0,0.0,1.0,0.0,1.0,38.0,26.0
2015,Boi Neon,4899406.0,7511,3,1.0,2.0,1.0,1.0,0.0,2.0,0.0,4.0,3.0
2012,Entity,1842356.0,5489,3,1.0,1.0,0.0,1.0,0.0,1.0,0.0,6.0,6.0
2014,"Scribbler, The",2396721.0,6220,3,1.0,1.0,-0.5,1.0,0.0,1.0,0.0,8.5,9.0
2019,Happy Death Day 2U,8155288.0,8684,3,1.0,2.0,13.0,1.0,0.0,2.0,0.0,26.5,13.5
2016,Lovesong,4305148.0,9259,3,0.0,1.0,1.5,0.0,0.0,1.0,0.0,9.0,7.5
2009,Polytechnique,1194238.0,4827,3,1.0,3.0,-3.0,1.0,0.0,3.0,0.0,20.5,23.5
2021,Night Teeth,10763820.0,10114,2,1.0,1.0,14.5,1.0,0.0,1.0,0.0,24.0,9.5
2011,A Lonely Place to Die,1422136.0,5041,3,1.0,1.5,8.5,1.0,0.0,1.5,0.0,14.0,5.5
1946,"Dark Corner, The",38453.0,5961,1,1.0,5.0,16.0,1.0,0.0,5.0,0.0,32.0,16.0
1978,"Boys from Brazil, The",77269.0,6695,1,1.0,-1.0,13.5,1.0,0.0,0.0,1.0,23.0,9.5
1989,Fat Man and Little Boy,97336.0,734,1,1.0,3.0,44.0,1.0,0.0,3.0,0.0,49.5,5.5
2016,La pazza gioia,4621872.0,7166,3,1.0,1.0,-13.0,1.0,0.0,2.0,1.0,26.0,39.0
2017,Okja,3967856.0,7743,3,0.0,1.0,23.0,0.0,0.0,1.0,0.0,46.5,23.5
2011,Codependent Lesbian Space Alien Seeks Same,1762248.0,3443,3,-1.0,-1.0,-0.5,0.0,1.0,0.0,1.0,4.0,4.5
2009,"Last Station, The",824758.0,946,3,1.0,2.0,7.5,1.0,0.0,2.0,0.0,11.0,3.5
2019,"Lego Movie 2: The Second Part, The",3513498.0,8645,3,1.0,10.0,12.0,1.0,0.0,10.0,0.0,24.5,12.5
1984,Best Defense,86955.0,7404,2,1.0,1.0,28.5,1.0,0.0,2.0,1.0,41.5,13.0
2001,Super Troopers,247745.0,1754,1,1.0,5.0,15.5,1.0,0.0,5.0,0.0,25.5,10.0
1999,Jawbreaker,155776.0,356,3,1.0,1.0,-10.0,1.0,0.0,1.0,0.0,15.0,25.0
2018,Ted - For karlekens skull,6204018.0,9125,0,1.0,1.0,4.0,1.0,0.0,1.0,0.0,23.0,19.0
2001,Escanaba in da Moonlight,180679.0,1776,0,1.0,4.0,15.0,1.0,0.0,4.0,0.0,37.0,22.0
2018,"Princess Switch, The",8954732.0,9357,3,1.0,-1.5,0.0,1.0,0.0,0.5,2.0,13.5,13.5
2004,EuroTrip,356150.0,9527,1,3.0,3.0,18.0,3.0,0.0,3.0,0.0,39.0,21.0
2015,Dora oder Die sexuellen Neurosen unserer Eltern,4265878.0,6260,3,-1.0,1.0,-4.0,0.0,1.0,2.0,1.0,9.0,13.0
1993,Once Upon a Forest,107745.0,2492,3,1.0,0.0,6.0,1.0,0.0,1.0,1.0,12.0,6.0
2010,Biutiful,1164999.0,2059,1,1.0,4.0,1.0,1.0,0.0,4.0,0.0,20.0,19.0
1987,Throw Momma from the Train,94142.0,9609,1,1.0,1.0,13.0,1.0,0.0,1.0,0.0,21.0,8.0
2011,Moy papa Baryshnikov,1815836.0,7171,2,1.0,1.0,12.0,1.0,0.0,1.0,0.0,21.0,9.0
1999,"Virgin Suicides, The",159097.0,5716,3,-1.0,0.0,14.0,0.0,1.0,1.0,1.0,35.5,21.5
2014,Dear White People,2235108.0,5918,3,1.0,1.0,9.5,1.0,0.0,1.0,0.0,26.0,16.5
2012,Snow Queen,2243621.0,5264,3,2.0,4.0,-2.5,2.0,0.0,4.0,0.0,8.0,10.5
2017,Apostasy,4729896.0,8449,3,1.0,1.0,1.0,1.0,0.0,1.0,0.0,12.5,11.5
1976,A Star Is Born,75265.0,3722,0,1.0,5.0,14.0,1.0,0.0,7.0,2.0,22.5,8.5
2015,"Dressmaker, The",2910904.0,6566,3,-1.0,-2.0,1.0,0.0,1.0,0.0,2.0,24.5,23.5
2009,"Assassin Next Door, The",1198153.0,1705,3,1.0,1.0,5.0,1.0,0.0,1.0,0.0,8.0,3.0
2020,Penguin Bloom,6317656.0,9499,3,0.0,2.5,0.5,0.0,0.0,3.5,1.0,8.5,8.0
2004,Born Into Brothels: Calcutta&#39;s Red Light Kids,388789.0,933,3,0.0,0.0,-2.5,1.0,1.0,1.0,1.0,1.5,4.0
